character,romaji,meaning
顕,ken,"appear, manifest"
諭,yu,"instruct, persuade"
憂,yuu/ure,"grief, worry"
曖,ai,vague
昧,mai,"dim, obscure"
鬱,utsu,depression
償,shou/tsuguna,compensate
懸,ken/kake,"suspend, concern"
罰,batsu,punishment
遵,jun,abide by
擁,you,"embrace, support"
護,go/mamoru,safeguard
闘,tou/tataka,fight
緩,kan/yuru,loosen
隷,rei,"servant, subordinate"
罷,hi,"dismiss, quit"
顧,ko/kaeri,"look back, consider"
諾,daku,consent
賛,san,"approve, praise"
璧,heki,flawless
巧,kou/taku,skillful
繊,sen,"delicate, fine"
維,i,maintain
羅,ra,"gauze, net"
宰,sai,"govern, manager"
亜,a,"sub-, Asia"
赴,fu/omo,proceed toward
該,gai,relevant
勲,kun,"distinguished service"
審,shin,"judge, examine"
慮,ryo/omo,consideration
賦,fu,levy
謙,ken,humble
顛,ten,overturn
覆,fuku/oo,cover
遷,sen/utsu,transition
躍,yaku/odor,leap
躊,chuu,hesitate
躇,cho,hesitate
冗,jou,redundant
漠,baku,vague
緻,chi,"fine, precise"
飽,hou/a,bored
脈,myaku,pulse
潤,jun/uru,moisten
崩,hou/kuzu,collapse
醸,jou/kamo,brew
撲,boku/utsu,slap
廉,ren,honest
峻,shun,steep
敏,bin,"agile, sensitive"
朴,boku,plain
悠,yuu,distant
僚,ryou,colleague
謡,you,chant
隠,in/kaku,hide
遡,saku/saka,go upstream
暫,zan/shibara,temporarily
戴,tai/itadai,receive humbly
憾,kan,regret
懲,chou/korashi,chastise
宵,shou/yoi,evening
遂,sui/to,accomplish
遜,son/heta,modest
剰,jou,surplus
頒,han,distribute
藩,han,domain
隅,gu/sumi,corner
窮,kyuu/kiwa,be cornered
