character,romaji,meaning
〜 (まる) ごと,(maru) goto,"whole ~, all of ~"
(かさを~) さす,(kasao~) sasu,to open; hold (an umbrella)
〜(日本) 式,~(nihon) shiki,"custom,"
~位,~i,~th place
~いち (にほんいち),~ichi (nihonichi),No. 1 ~ (in)
~園,~en,~ garden (especially man made)
~おしまい (おわり),~oshimai (owari),end up ~
~日,~ka,counter for days
~下,~ka,under ~
~化,~ka,action of making something
~科,~ka,"family, group, course"
~歌,~ka,song of ~
~画,~ga,"picture, painting"
~外,~gai,out of ~
~難い,~gatai,hard (difficult) to do ~
~がち,~gachi,tend to do ~
~刊,~kan,"~ issued (magazine, newspaper)"
~間,~kan,"between, during"
~巻,~kan,volume
~館,~kan,"~ hall, ~ building"
~感,~kan,"feeling, sense, impression"
~期,~ki,"~age, ~period"
~器,~ki,"device, equipment"
~機,~ki,machine
~気味,~gimi,slightly ~
~教,~kyou,religion
~行,~gyou,"line, row"
~業,~gyou,type of business
~きる,~kiru,"nevertheless, to carry through"
~切れ,~kire,out of ~
~口,~kuchi,"~ opening; ~ entrance, ~ exit"
~家,~ke,"~'s family, the house of ~"
~形,~kei,shape of ~
~系,~kei,"~ system, ~ lineage, ~ group"
~圏,~ken,"bloc, sphere, area"
~校,~kou,counter for school
~港,~kou,~ port
~号,~gou,counter for magazine; the name of ship
~国,~koku,nation of ~
~毎,~goto,"every ~, each ~"
~山,~san,the name of mountain
~産,~san,made in ~
~史,~shi,history of ~
~紙,~shi,"newspaper, type of paper"
~寺,~ji,the name of temple
~時間目,~jikamme,"~th hour, ~th period"
~室,~shitsu,counter for room
~日,~jitsu,day
~車,~sha,~ car
~者,~sha,person
~社,~sha,counter for company
~手,~shu,"~ player, person who does ~"
~酒,~shu,kind of alcohol
~集,~shuu,collection of ~
~所,~sho,place
~所,~jo,place
~女,~jo,count for sisters
~省,~shou,kind of ministry
~商,~shou,"merchant, business"
~勝,~shou,count for victory
~条,~jou,counter for article
~場,~jou,"kind of field, ground"
~畳,~jou,"count for tatami, mat"
~色,~shoku,kind of color
~過ぎる,~sugiru,too much ~
~済,~zumi,finished
~席,~seki,counter for seats
~船,~sen,counter for ships
~戦,~sen,"counter for games, matches"
~前,~zen,before ~
~沿い,~soi,along
~艘,~sou,counter for ships
~足,~soku,counter for shoes
~だらけ,~darake,"be full of ~, be filled with ~"
~団,~dan,"group, corps, party"
~着,~chaku,counter for clothes; finishing place
~庁,~chou,"office, agency"
~兆,~chou,trillion
~長,~chou,"leader, head"
~帳,~chou,"~ book, notebook"
~丁目,~choume,"~ district (of a town; city, block)"
~通,~tsuu,counter for letters
~遣い,~zukai,use of ~
~付,~tsuki,with ~
~続く,~tsuzuku,"follow, continue, go on"
~辛い,~zurai,hard to do ~
~滴,~teki,drop
~点,~ten,counter for scores
~頭,~tou,counter for animals
~等,~tou,"level, place"
~島,~tou,kind of islands
~道,~dou,"kind of path, road"
~通り,~toori,"in accordance with ~; following ~; ~ street, ~ avenue"
~ところ,~tokoro,about to do ~
~内,~nai,inside ~
~年生,~nensei,counter for school year
~泊,~haku,"counter for staying (e.g., 2 nights)"
~発,~hatsu,counter for bullets
~番目,~bamme,~th
~費,~hi,cost of ~
~病,~byou,kind of disease
~部,~bu,~ part
~風,~fuu,~ style
~振り,~buri,after an interval of ~
~遍,~hen,time
~弁,~ben,"speech, dialect"
~歩,~ho,"step, pace"
~ぽい,~poi,~ish
~ほう (ひかく),~hou (hikaku),(in comparison)
~みたい,~mitai,looks like ~
~向け,~muke,for ~
~名,~mei,counter for people
~もち,~mochi,person who has ~
~問,~mon,counter for questions
~夜,~ya,counter for nights
~等,~ra,plural persons
~流,~ryuu,"fashion, manner, way"
~料,~ryou,"fare, charge"
~領,~ryou,territory
~力,~ryoku,power of ~
~論,~ron,theory
~羽,~wa,counter for rabbits; birds
相変わらず,aikawarazu,"as usual, as always, as before, as ever, still"
アイデア; アイディア,aidea aideia,idea
あいまい,aimai,"vague, ambiguous"
扇ぐ,aogu,"to fan, to flap"
青白い,aojiroi,pale
呆れる,akireru,"to be shocked, to be appalled"
アクセント,akusento,accent
あくび,akubi,yawn
飽くまで,akumade,"to the end, to the last, stubbornly"
明くる~,akuru~,"next, following"
明け方,akegata,dawn
憧れる,akogareru,"to long for, to yearn after"
朝寝坊,asanebou,"oversleeping, late riser"
足跡,ashiato,footprint
足元,ashimoto,at one's feet
味わう,ajiwau,"to taste, to savor"
預かる,azukaru,"to keep in custody, to receive on deposit, to take charge of"
温まる,atatamaru,to warm oneself
当たり前,atarimae,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm"
あちらこちら,achirakochira,here and there
厚かましい,atsukamashii,"impudent, shameless,"
圧縮,asshuku,"compression, condensation, pressure"
宛名,atena,"address, direction"
当てはまる,atehamaru,"to be applicable, to come under (a category)"
当てはめる,atehameru,"to apply, to adapt"
暴れる,abareru,"to act violently, to rage"
脂,abura,"fat, tallow, lard"
あぶる,aburu,"to scorch, to roast"
あふれる,afureru,"to flood, to overflow"
雨戸,amado,sliding storm door
甘やかす,amayakasu,"to pamper, to spoil"
余る,amaru,"to be left over, to be in excess"
編み物,amimono,knitting
あみもの,amimono,"knitting, web"
編む,amu,to knit
危うい,ayaui,"dangerous, critical"
怪しい,ayashii,"suspicious, dubious, doubtful"
荒い,arai,"rough, rude, wild"
粗い,arai,"coarse, rough"
粗筋,arasuji,"outline, synopsis"
争う,arasou,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose"
改めて,aratamete,"another time, again"
改める,aratameru,"to change, to reform, to revise"
あらわす,arawasu,"to write, to publish"
有難い,arigatai,"grateful, thankful, appreciated"
あれこれ,arekore,"one thing or another, this and that"
荒れる,areru,"to be stormy, to be rough, to be ruined"
慌ただしい,awatadashii,"busy, hurried"
慌てる,awateru,"to become confused (disconcerted, disorganized), to be flustered, to panic, to hurry, to rush, to hasten"
安易,ani,easy-going
案外,angai,"unexpectedly, surprisingly"
アンテナ,antena,antenna
言い出す,iidasu,"to start talking, to suggest"
言い付ける,iitsukeru,"to tell, to order"
意義,igi,"meaning, significance"
生き生き,ikiiki,"vividly, lively"
いきなり,ikinari,all of a sudden
幾~,iku~,several ~
育児,ikuji,"childcare, nursing"
幾分,ikubun,somewhat
生け花,ikebana,flower arrangement
以後,igo,after this; from now on; hereafter
イコール,ikooru,equal
以降,ikou,"on and after, hereafter"
勇ましい,isamashii,"brave, valiant"
衣食住,ishokujuu,"food, clothing and shelter"
いちいち,ichiichi,"one by one, separately"
一応,ichiou,"tentatively, for the time being"
一段と,ichidanto,"by far, greater"
一流,ichiryuu,"first class, leading"
一昨日,issakujitsu,day before yesterday
一昨年,issakunen,year before last
一斉,issei,"simultaneous, all at once"
一旦,ittan,"once, for a moment"
一定,ittei,"fixed, settled, regular"
行っていらっしゃい,itteirasshai,"have a nice day, see you"
いってきます,ittekimasu,"(Lit.) I'll go and come back, 'I'm going, see you later'"
いってまいります,ittemairimasu,"(Lit.) I'll go and come back, 'I'm going, see you later'"
