character,romaji,meaning
作法,sahou,"manners, etiquette, propriety"
様々,samazama,"varied, various"
冷ます,samasu,"to cool, to let cool"
覚ます,samasu,to awaken
冷める,sameru,"to become cool, to wear off"
覚める,sameru,"to wake, to wake up"
左右,sayuu,left and right; influence
皿,sara,"plate, dish"
更に,sarani,"furthermore, moreover"
去る,saru,"to leave, to go away"
猿,saru,monkey
騒ぎ,sawagi,"uproar, disturbance"
参加,sanka,participation
参考,sankou,"reference, consultation"
賛成,sansei,"approval, agreement"
酸性,sansei,acidity
酸素,sanso,oxygen
氏,shi,"family name, lineage"
詩,shi,poem; poetry
幸せ,shiawase,"happiness, blessing"
ジーンズ,jiinzu,jeans
ジェット機,jiettoki,jet plane
四角,shikaku,square
直に,jikani,"immediately, readily, directly"
しかも,shikamo,"moreover, furthermore, besides, plus"
四季,shiki,four seasons
直,jiki,"immediately, soon, shortly"
時期,jiki,"time, season, period"
支給,shikyuu,"payment, allowance"
至急,shikyuu,"urgent, pressing"
しきりに,shikirini,"frequently, repeatedly, eagerly"
刺激,shigeki,"stimulus, impetus, incentive"
資源,shigen,resources
事件,jiken,"event, affair, incident"
時刻,jikoku,"time, hour"
自殺,jisatsu,suicide
事実,jijitsu,"fact, truth, reality"
支出,shishutsu,"expenditure, expenses"
事情,jijou,"circumstances, situation, reasons"
詩人,shijin,poet
自身,jishin,oneself
沈む,shizumu,to sink; to feel depressed
自然,shizen,"nature, spontaneous"
思想,shisou,"thought, idea"
舌,shita,tongue
次第,shidai,order; circumstances; immediate(ly)
従う,shitagau,"to abide (by the rules), to obey"
したがって,shitagatte,"therefore, consequently"
親しい,shitashii,"intimate, close (e.g., friend)"
質,shitsu,"quality, nature (of person)"
失業,shitsugyou,unemployment
湿気,shikke,"moisture, humidity, dampness"
実験,jikken,lab work; experiment
実現,jitsugen,"implementation, materialization, realization"
実行,jikkou,"practice, execution (e.g., program), realization"
実際,jissai,in fact; in actuality
実施,jisshi,"enforcement, carry out, operation"
湿度,shitsudo,humidity
じっと,jitto,"patiently, quietly"
実に,jitsuni,"indeed, truly, surely"
実は,jitsuha,actually; in fact
失望,shitsubou,"disappointment, despair"
実力,jitsuryoku,ability; force
支店,shiten,branch store (office)
指導,shidou,"leadership, guidance, coaching"
自動,jidou,"automatic, self-motion"
児童,jidou,"children, juvenile"
品,shina,"thing, article, goods"
支配,shihai,"rule, control, direction"
芝居,shibai,"play, drama"
しばしば,shibashiba,"often, again and again, frequently"
芝生,shibafu,lawn
支払,shiharai,payment
支払う,shiharau,to pay
死亡,shibou,death
資本,shihon,"funds, capital"
姉妹,shimai,sisters
しまった (かん),shimatta (kan),Damn it!
自慢,jiman,"pride, boast"
地味,jimi,"quiet, plain, conservative"
示す,shimesu,"to show, to indicate"
占める,shimeru,to take up; to account for
湿る,shimeru,"to be wet, to be damp"
下,shimo,"under, below, beneath"
霜,shimo,frost
借金,shakkin,"debt, loan, liabilities"
しゃべる,shaberu,"to talk, to chat, to chatter (same as 話す (はなす))"
週,shuu,week
州,shuu,"state, province"
銃,juu,gun
周囲,shuui,"surroundings, circumference, environs"
収穫,shuukaku,"harvest, crop, ingathering"
宗教,shuukyou,religion
重視,juushi,"importance, stress"
就職,shuushoku,finding employment
ジュース,juusu,"juice, soft drink; deuce"
修正,shuusei,"amendment, correction"
重体,juutai,"seriously ill, critical state"
渋滞,juutai,"congestion (e.g., traffic), delay"
重大,juudai,"serious, important"
住宅,juutaku,"resident, housing"
集団,shuudan,"group, mass"
集中,shuuchuu,"concentration, focusing the mind"
収入,shuunyuu,"income, revenue"
住民,juumin,"inhabitants, residents"
重要,juuyou,"important, essential"
修理,shuuri,"repairing, mending"
主義,shugi,"doctrine, cause, principle"
宿泊,shukuhaku,lodging
手術,shujutsu,surgical operation
首相,shushou,Prime Minister
手段,shudan,"means, way, measure"
主張,shuchou,"claim, insistence, assertion"
出場,shutsujou,participation
出身,shusshin,come from
出版,shuppan,publication
首都,shuto,capital city
主婦,shufu,housewife
主要,shuyou,"chief, main"
需要,juyou,demand
種類,shurui,"variety, kind"
順,jun,"order, turn"
瞬間,shunkan,"moment, second"
順調,junchou,doing well
順番,jumban,"turn (in line), order of things"
使用,shiyou,"use (same as 使うこと (つかうこと)), application, employment, utilization"
小,shou,small
章,shou,"chapter, section; medal"
賞,shou,"prize, award"
上,jou,first volume; superior quality; governmental
障害,shougai,"obstacle, impediment"
奨学金,shougakukin,scholarship
乗客,joukyaku,passenger
上京,joukyou,proceeding to the capital (Tokyo)
状況,joukyou,"state of affairs, situation"
条件,jouken,"conditions, terms"
正午,shougo,"noon, mid-day"
正直,shoujiki,"honesty, integrity, frankness"
常識,joushiki,common sense
少女,shoujo,young girl
少々,shoushou,a little; short (time) (formal for 少し (すこし))
症状,shoujou,"symptoms, condition"
生じる,shoujiru,"to occur, to arise, to be generated"
状態,joutai,"condition, situation"
上達,joutatsu,"improvement, advance"
冗談,joudan,a joke
上等,joutou,"first class, very good"
衝突,shoutotsu,"collision, conflict"
商人,shounin,"trader, shopkeeper, merchant"
承認,shounin,"recognition, approval"
少年,shounen,"boys, juveniles"
商売,shoubai,"trade, business, commerce"
消費,shouhi,"consumption, expenditure"
商品,shouhin,"commodity, merchandise"
賞品,shouhin,"prize, trophy"
消防,shoubou,"fire fighting, fire department"
情報,jouhou,"information, (military) intelligence"
証明,shoumei,"proof, verification"
省略,shouryaku,"omission, abbreviation, abridgment"
女王,joou,queen
職,shoku,employment
職業,shokugyou,"occupation, business"
食卓,shokutaku,dining table
食品,shokuhin,foodstuff
植物,shokubutsu,"plant, vegetation"
食物,shokumotsu,"food, foodstuff"
食欲,shokuyoku,appetite (for food)
食料,shokuryou,food
食糧,shokuryou,"provisions, rations"
書斎,shosai,"study, den"
女子,joshi,"woman, girl"
助手,joshu,"helper, assistant"
徐々に,jojoni,"slowly, little by little"
署名,shomei,signature
書物,shomotsu,books
女優,joyuu,actress
処理,shori,"processing, treatment, disposition"
書類,shorui,"documents, official papers"
知らせ,shirase,notice
尻,shiri,"buttocks, bottom"
知合い,shiriai,acquaintance
印,shirushi,mark; symbol; evidence
城,shiro,castle
進学,shingaku,going on to university
神経,shinkei,"nerve, sensitivity"
真剣,shinken,"seriousness, earnestness"
信仰,shinkou,"(religious) faith, belief"
信号,shingou,"traffic lights, signal, semaphore"
人工,jinkou,"artificial, man made, human work,"
深刻,shinkoku,serious
診察,shinsatsu,medical examination (of a patient)
人種,jinshu,race (of people)
信じる,shinjiru,to believe
人生,jinsei,"(human) life (e.g., conception to death)"
親戚,shinseki,relative(s)
新鮮,shinsen,fresh
心臓,shinzou,heart
身体,shintai,the body
身長,shinchou,"height (of body), stature"
慎重,shinchou,"careful, prudent, cautious"
審判,shimpan,"umpire, referee, judgment"
人物,jimbutsu,"character, personality, talented man"
進歩,shimpo,"improvement, progress, development"
親友,shinyuu,"close friend, buddy"
信用,shinyou,"confidence, dependence"
信頼,shinrai,"reliance, trust, confidence"
心理,shinri,mentality
人類,jinrui,"mankind, humanity"
巣,su,"nest, breeding place"
酢,su,vinegar
図,zu,"figure, drawing, illustration"
水準,suijun,"level, standard"
推薦,suisen,recommendation
スイッチ,suicchi,switch
睡眠,suimin,sleep
数,suu,"number, figure"
数字,suuji,"numeral, figure"
スープ,suupu,(Western) soup
末,sue,"the end of, powder"
姿,sugata,"figure, shape, appearance"
スキー,sukii,ski
救う,sukuu,"to rescue from, to help out of"
すくなくとも,sukunakutomo,at least
優れる,sugureru,"to surpass, to outstrip, to excel"
スケート,sukeeto,"skate(s), skating"
スケジュール,sukejuuru,schedule
少しも,sukoshimo,"anything of, not one bit"
過ごす,sugosu,"to pass, to spend (time)"
筋,suji,"muscle, string, line"
進める,susumeru,"to advance, to promote, to hasten"
勧める,susumeru,"to urge (someone) to do (something), to recommend"
スター,sutaa,star
スタイル,sutairu,style
スタンド,sutando,stand
頭痛,zutsuu,headache
ずっと,zutto,for a long time; all the time; consecutively
すっぱい,suppai,"sour, acid"
すてき,suteki,"lovely, great"
既に,sudeni,already (same as もう)
すなわち,sunawachi,"that is, namely, e.g."
スピーチ,supiichi,speech
全て,subete,"all, the whole, entirely"
済ませる,sumaseru,to be finished
角,sumi,corner
墨,sumi,ink
すみません (かん),sumimasen (kan),"sorry, excuse me"
澄む,sumu,"to clear (e.g., weather), to become transparent"
清む,sumu,"to clear (e.g., weather), to become transparent"
刷る,suru,to print
為る,suru,"to do, to attempt"
鋭い,surudoi,"pointed, sharp"
すれ違う,surechigau,to pass by one another
ずれる,zureru,"move, off the point"
正,sei,"(logical) true, regular"
生,sei,birth
性,sei,"sex, gender"
姓,sei,"surname, family name"
所為,sei,"cause, reason, fault"
税,zei,tax
性格,seikaku,"character, personality"
正確,seikaku,"accurate, punctuality, exact"
世紀,seiki,century
請求,seikyuu,"claim, demand, request"
税金,zeikin,"tax, duty"
清潔,seiketsu,clean
制限,seigen,"restriction, restraint, limitation"
成功,seikou,"success, hit"
正式,seishiki,"official, formal"
性質,seishitsu,"nature, property, disposition"
精神,seishin,"mind, soul, spirit"
成人,seijin,adult
精々,seizei,"at the most, at best"
成績,seiseki,"grade (i.e., on a test), academic record"
製造,seizou,"manufacture, production"
贅沢,zeitaku,"luxury, extravagance"
成長,seichou,growth
生長,seichou,growth
制度,seido,"system, institution"
青年,seinen,"youth, young man"
生年月日,seinengappi,birth date
製品,seihin,"manufactured goods, finished goods"
政府,seifu,"government, administration"
生物,seibutsu,"living thing, organism"
生命,seimei,life
整理,seiri,"sorting, arrangement"
咳,seki,cough
石炭,sekitan,coal
責任,sekinin,"duty, responsibility"
石油,sekiyu,"oil, petroleum, kerosene"
世間,seken,"world, society"
説,setsu,theory
積極的,sekkyokuteki,"positive, active, proactive"
設計,sekkei,"plan, design"
絶対,zettai,"definitely, without fail, absoluteness"
セット,setto,set
愛,ai,love
相変わらず,aikawarazu,"as ever, as usual"
愛情,aijou,"love, affection"
合図,aizu,"sign, signal"
アイスクリーム,aisukuriimu,ice cream
愛する,aisuru,to love
相手,aite,partner; addressee; the person you are talking to
あいにく,ainiku,unfortunately
遭う,au,"to meet, to encounter (undesirable nuance)"
アウト,auto,out
明かり,akari,"lamplight, light (in general)"
空き,aki,"vacancy, opening, space"
明らか,akiraka,"obvious, clear"
諦める,akirameru,"to give up, to abandon"
飽きる,akiru,"to get tired of, to lose interest in"
握手,akushu,handshake
悪魔,akuma,"devil, demon, evil spirit"
明ける,akeru,"to dawn, to become daylight"
揚げる,ageru,"to lift, to fry"
挙げる,ageru,"to raise; to list, to cite"
預かる,azukaru,to keep (something) for (someone)
預ける,azukeru,"to give into custody, to deposit"
汗,ase,"sweat, perspiration"
与える,ataeru,to give
温かい,atatakai,warm
暖まる,atatamaru,to warm up
温まる,atatamaru,"to warm oneself, to get warm"
暖める,atatameru,"to warm (up to someone/something), to heat (up to someone/something)"
温める,atatameru,"to warm, to heat"
辺り,atari,"vicinity, nearby"
当たり前,atarimae,"usual, common, obvious"
当たる,ataru,"to be hit, to be successful"
あちこち,achikochi,here and there
扱う,atsukau,"to treat, to handle, to deal with"
集まり,atsumari,"gathering, meeting, collection"
当てる,ateru,to hit; to apply to
跡,ato,trace; remains; scar
穴,ana,hole
油,abura,oil
脂,abura,fat
誤り,ayamari,error
粗,ara,"defect, flaw, fault"
嵐,arashi,storm
争う,arasou,"to dispute, to argue, to fight"
