JLPT N2 Kanji List
This is not a cumulative list. (It doesn't contain the kanji needed by JLPT N3 and
below).
Kanji,,,Onyomi,,,Kunyomi,,,English
,党,,,トウ,,,なかま むら,,,"party, faction, clique"
,協,,,キョウ,,,,,,"co-, cooperation"
,総,,,ソウ フ,,,す.べて すべ.て,,,"general, whole, all, full, total"
,区,,,ク オウ コウ,,,,,,"ward, district"
領,,,リョウ,,,,,,,"jurisdiction, dominion, territory,"
,,,,,,,,,,"fief, reign"
,県,,,ケン カ.ケ,,,,,,prefecture
,設,,,セツ モウ.ケ,,,,,,"establishment, provision, prepare"
改,,,カイ,,,あらた.める あらた.まる,,,,"reformation, change, modify,"
,,,,,,,,,,"mend, renew, examine, inspect,"
,,,,,,,,,,search
府,,,,,,,,,,"borough, urban prefecture, govt"
,,,,,,,,,,"office, representative body,"
,,,,,,,,,,storehouse
,査,,,サ,,,,,,investigate
委,,,イ ユダ.ネ,,,,,,,"committee, entrust to, leave to,"
,,,,,,,,,,"devote, discard"
,軍,,,グン,,,,,,"army, force, troops, war, battle"
,団,,,ダン トン,,,かたまり まる.い,,,"group, association"
,各,,,カク オノオ,,,,,,"each, every, either"
