械,,,,カイ,,,かせ,,,,"contraption, fetter, machine,"
,,,,,,,,,,,instrument
,菜,,,,サイ,,,,,,"vegetable, side dish, greens"
,珍,,,,チン タカ,,,めずら.しい,,,"rare, curious, strange"
,卵,,,,ラン,,,たまご,,,"egg, ovum, spawn, roe"
,湖,,,,コ ミズウ,,,,,,lake
喫,,,,キツ,,,,,,,"consume, eat, drink, smoke,"
,,,,,,,,,,,receive (a blow)
,干,,,,カン ヒ.,,,ほ.す ほ.し- -ぼ.し,,,"dry, parch"
,虫,,,,チュウ キ ム,,,,,,"insect, bug, temper"
,刷,,,,サツ,,,す.る -ず.り -ずり は.く,,,"printing, print"
,湯,,,,トウ,,,ゆ,,,"hot water, bath, hot spring"
,溶,,,,ヨウ,,,と.ける と.かす と.く,,,"melt, dissolve, thaw"
,鉱,,,,コウ,,,あらがね,,,"mineral, ore"
,涙,,,,ルイ レイ,,,なみだ,,,"tears, sympathy"
匹,,,,ヒツ,,,ひき,,,,"equal, head, counter for small"
,,,,,,,,,,,"animals, roll of cloth"
,孫,,,,ソン マ,,,,,,"grandchild, descendants"
鋭,,,,エイ スルド.,,,,,,,"pointed, sharpness, edge,"
,,,,,,,,,,,"weapon, sharp, violent"
,枝,,,,シ エ,,,,,,"bough, branch, twig, limb"
塗,,,,ト,,,ぬ.る ぬ.り まみ.れる,,,,"paint, plaster, daub, smear,"
,,,,,,,,,,,coating
