,,,,,,,,,,,specific
,赴,,,,フ,,,おもむ.く,,,"proceed, get, become, tend"
,桑,,,,ソウ ク,,,,,,mulberry
桂,,,,ケイ カツ,,,,,,,"Japanese Judas-tree, cinnamon"
,,,,,,,,,,,tree
,髄,,,,ズイ,,,,,,"marrow, pith"
,虎,,,,コ ト,,,,,,"tiger, drunkard"
,盆,,,,ボン,,,,,,"basin, lantern festival, tray"
,晋,,,,シン スス.,,,,,,advance
穂,,,,スイ,,,,,,,"ear, ear (grain), head, crest"
,,,,,,,,,,,(wave)
,壮,,,,ソウ サカ,,,,,,"robust, manhood, prosperity"
,堤,,,,テイ,,,つつみ,,,"dike, bank, embankment"
,飢,,,,キ,,,う.える,,,"hungry, starve"
傍,,,,ボウ ソ,,,かたわ.ら わき おか- はた,,,,"bystander, side, besides, while,"
,,,,,,,,,,,"nearby, 3rd person"
,疫,,,,エキ ヤク,,,,,,epidemic
累,,,,ルイ,,,,,,,"accumulate, involvement,"
,,,,,,,,,,,"trouble, tie up, continually"
,痴,,,,チ,,,し.れる おろか,,,"stupid, foolish"
,搬,,,,ハン,,,,,,"conveyor, carry, transport"
,晃,,,,コウ アキラ,,,,,,clear
,癒,,,,ユ,,,い.える いや.す,,,"healing, cure, quench (thirst),"
